avg_active_span_days,avg_interest,age,avg_paym_span_hrs,interest,avg_loanamount,max_loannumber,interest_interval_3000,loanamount,age_interval_36-40,good_bad_flag
33.0,3000.0,36.0,0.0,3000.0,10000.0,1.0,1,10000.0,1,0
3.0,3000.0,41.0,13.0,3000.0,10000.0,1.0,1,10000.0,0,1
23.33333333333333,3133.333333333333,34.0,15.166666666666666,3000.0,15000.0,6.0,1,20000.0,0,1
25.33333333333333,3000.0,47.0,13.666666666666666,4500.0,10000.0,3.0,0,20000.0,0,1
14.0,1559.090909090909,27.0,11.636363636363637,4500.0,12727.272727272728,11.0,0,20000.0,0,1
26.0,3600.0,44.0,13.6,4500.0,14000.0,5.0,0,20000.0,0,1
19.25,2296.875,43.0,13.5,4500.0,11250.0,4.0,0,20000.0,0,1
21.285714285714285,3275.0,42.0,14.0,4000.0,28571.42857142857,14.0,0,40000.0,0,0
13.0,3000.0,33.0,20.0,3000.0,10000.0,1.0,1,10000.0,0,0
20.75,3000.0,41.0,11.25,4500.0,21250.0,8.0,0,30000.0,0,1
13.0,3000.0,41.0,8.0,3000.0,10000.0,1.0,1,10000.0,0,1
19.571428571428573,2371.428571428572,29.0,10.857142857142858,9000.0,14285.714285714286,7.0,0,30000.0,0,1
14.0,1500.0,42.0,6.0,3000.0,10000.0,1.0,1,10000.0,0,1
18.33333333333333,3241.6666666666665,35.0,14.333333333333334,3500.0,20000.0,7.0,0,40000.0,0,1
15.25,1500.0,38.0,15.25,1500.0,10000.0,4.0,0,10000.0,1,0
23.5,2250.0,30.0,12.5,1500.0,10000.0,2.0,0,10000.0,0,0
31.5,3000.0,29.0,11.5,3000.0,10000.0,2.0,1,10000.0,0,0
44.0,3000.0,43.0,22.0,3000.0,10000.0,1.0,1,10000.0,0,1
27.0,3000.0,34.0,0.0,1500.0,10000.0,1.0,0,10000.0,0,1
28.0,3000.0,54.0,13.0,3000.0,10000.0,1.0,1,10000.0,0,1
7.0,1500.0,30.0,20.0,3000.0,10000.0,1.0,1,10000.0,0,1
30.09090909090909,4063.636363636364,39.0,12.454545454545457,4000.0,27272.727272727272,11.0,0,40000.0,1,1
22.5,2056.25,44.0,10.0,2250.0,12000.0,8.0,0,15000.0,0,1
8.0,1500.0,43.0,9.0,1500.0,10000.0,1.0,0,10000.0,0,1
17.0,1500.0,36.0,9.0,3000.0,10000.0,2.0,1,10000.0,1,0
24.0,3000.0,37.0,20.0,3000.0,10000.0,1.0,1,10000.0,1,1
32.72727272727273,5227.272727272727,29.0,14.090909090909092,5000.0,25454.545454545456,11.0,0,50000.0,0,0
13.0,3000.0,54.0,12.0,3000.0,10000.0,1.0,1,10000.0,0,1
16.666666666666668,2000.0,38.0,13.333333333333334,1500.0,10000.0,3.0,0,10000.0,1,0
14.142857142857142,2194.6428571428573,48.0,12.857142857142858,4500.0,17142.85714285714,7.0,0,30000.0,0,1
13.0,1500.0,31.0,10.0,3000.0,10000.0,1.0,1,10000.0,0,1
18.5,1500.0,46.0,11.0,1500.0,10000.0,9.0,0,10000.0,0,0
11.5,1500.0,35.0,3.0,1500.0,10000.0,2.0,0,10000.0,0,1
20.8,2330.0,35.0,9.3,2250.0,13000.0,10.0,0,20000.0,0,1
24.666666666666668,3000.0,31.0,12.333333333333334,2250.0,10000.0,3.0,0,10000.0,0,1
32.5,3650.0,28.0,12.5,9000.0,16666.666666666668,6.0,0,30000.0,0,1
27.75,3309.375,29.0,10.25,9000.0,15625.0,8.0,0,30000.0,0,0
24.33333333333333,2833.333333333333,42.0,18.33333333333333,2500.0,13333.333333333334,3.0,0,10000.0,0,1
16.25,2062.5,30.0,12.25,2250.0,12500.0,4.0,0,20000.0,0,1
10.0,3000.0,41.0,13.0,3000.0,10000.0,2.0,1,10000.0,0,1
28.5,3000.0,39.0,20.5,4500.0,10000.0,2.0,0,20000.0,1,1
20.25,3481.25,36.0,9.125,8000.0,18750.0,8.0,0,40000.0,1,1
29.33333333333333,3000.0,47.0,9.666666666666666,3000.0,10000.0,3.0,1,10000.0,0,0
18.066666666666663,4293.333333333333,45.0,13.266666666666667,4000.0,30666.666666666668,15.0,0,40000.0,0,0
11.5,1500.0,40.0,17.0,1500.0,10000.0,2.0,0,10000.0,1,1
20.90909090909091,2954.5454545454545,32.0,11.0,4000.0,20000.0,11.0,0,40000.0,0,1
